area_sqft,bedrooms,bathrooms,floors,garage_spots,age_years,distance_to_city_km,locality,condition,has_garden,has_pool,furnished,price_inr
1360,4,3,2,2,44,5.8,Urban,Average,0,0,Semi-Furnished,3963000
4272,2,2,2,0,3,12.9,Suburban,Excellent,0,1,Furnished,16535000
3592,3,2,3,0,35,23.6,Urban,Good,1,0,Semi-Furnished,13045000
966,2,1,1,2,5,14.9,Rural,Good,0,1,Semi-Furnished,1739000
4926,4,3,1,1,30,29.6,Urban,Excellent,1,0,Unfurnished,20934000
3944,3,2,1,1,18,11.9,Suburban,Excellent,0,0,Unfurnished,12519000
3671,3,3,1,1,43,22.7,Rural,Average,1,0,Semi-Furnished,5143000
3419,3,2,1,1,38,12.4,Suburban,Average,1,1,Unfurnished,7386000
630,2,1,1,2,26,25.0,Rural,Excellent,0,0,Unfurnished,500000
2185,3,3,1,2,9,17.5,Urban,Good,1,0,Semi-Furnished,9168000
1269,3,3,2,2,25,2.8,Suburban,Poor,1,0,Furnished,2870000
2891,2,1,3,1,18,2.1,Suburban,Good,1,0,Semi-Furnished,8463000
2933,5,4,1,2,38,4.9,Suburban,Excellent,1,0,Unfurnished,10079000
1684,3,2,1,1,2,1.4,Urban,Good,1,0,Semi-Furnished,8177000
3885,3,2,2,1,44,3.2,Urban,Good,1,0,Semi-Furnished,15434000
4617,4,3,1,0,12,21.1,Urban,Excellent,1,0,Semi-Furnished,22580000
3404,3,2,1,2,49,16.5,Suburban,Average,0,0,Semi-Furnished,7434000
974,2,2,1,2,27,22.7,Rural,Average,1,0,Unfurnished,1097000
1582,2,1,1,1,19,27.5,Suburban,Good,0,0,Semi-Furnished,3583000
3058,3,2,2,2,27,18.0,Urban,Excellent,1,1,Semi-Furnished,15326000
2547,2,2,1,1,7,22.1,Rural,Average,0,0,Furnished,4070000
3247,3,3,2,0,40,23.0,Suburban,Good,0,0,Semi-Furnished,8227000
1475,4,4,2,0,38,12.0,Suburban,Good,0,1,Semi-Furnished,4126000
2306,2,2,1,0,0,8.0,Urban,Good,1,0,Semi-Furnished,9841000
689,2,1,1,1,2,6.9,Suburban,Good,0,1,Semi-Furnished,2447000
3234,3,2,1,0,12,8.3,Urban,Excellent,0,0,Furnished,17184000
3505,5,4,2,1,27,9.0,Suburban,Good,0,0,Semi-Furnished,10281000
2399,2,1,1,1,48,7.0,Rural,Good,1,0,Semi-Furnished,3933000
1767,3,2,1,1,24,26.5,Urban,Good,1,0,Semi-Furnished,6345000
2028,1,1,2,1,32,23.0,Suburban,Good,1,0,Semi-Furnished,4571000
3702,3,3,1,1,37,2.4,Urban,Average,1,0,Semi-Furnished,12319000
4056,2,1,1,1,5,8.8,Urban,Average,1,0,Furnished,15158000
4390,2,2,1,0,43,1.6,Suburban,Good,1,0,Semi-Furnished,11703000
1146,3,3,1,1,44,15.4,Suburban,Poor,0,0,Semi-Furnished,1654000
3388,3,2,3,1,31,14.8,Suburban,Average,0,0,Furnished,8561000
2935,3,3,1,1,44,25.1,Suburban,Good,0,0,Unfurnished,6190000
1100,2,1,2,2,46,9.9,Suburban,Good,0,0,Unfurnished,1999000
2863,2,2,1,0,20,24.7,Suburban,Average,1,0,Unfurnished,5501000
2561,2,1,2,1,15,29.1,Suburban,Good,1,0,Furnished,7152000
741,2,2,1,2,20,3.6,Suburban,Good,0,1,Unfurnished,2305000
2541,3,2,1,1,10,24.0,Suburban,Average,1,0,Unfurnished,5501000
3324,3,2,3,1,36,18.1,Suburban,Excellent,1,0,Unfurnished,9910000
3112,1,1,2,1,35,14.9,Urban,Good,0,0,Unfurnished,10000000
1863,2,1,3,1,34,13.2,Rural,Good,1,0,Unfurnished,3055000
1978,2,1,1,1,18,23.8,Suburban,Good,1,1,Semi-Furnished,5422000
3056,3,3,1,0,19,19.5,Urban,Excellent,0,0,Semi-Furnished,13920000
1275,4,4,1,0,17,24.3,Suburban,Good,1,0,Unfurnished,3166000
4514,2,2,2,1,46,27.2,Urban,Good,1,0,Unfurnished,14823000
534,5,4,1,2,40,18.9,Rural,Good,1,0,Unfurnished,939000
3652,2,2,2,1,48,29.4,Urban,Average,1,1,Unfurnished,9683000
2455,5,4,1,0,13,18.6,Urban,Average,1,0,Semi-Furnished,8644000
2085,3,2,3,1,14,19.5,Suburban,Good,1,1,Semi-Furnished,6735000
4443,1,1,1,1,30,17.1,Suburban,Good,0,0,Unfurnished,10589000
3573,2,2,2,0,0,3.6,Rural,Good,0,0,Semi-Furnished,7402000
1521,3,2,1,1,2,22.1,Urban,Average,0,1,Unfurnished,5363000
3961,3,3,1,1,15,16.9,Rural,Good,1,0,Furnished,8447000
3113,3,2,2,1,22,14.1,Urban,Average,0,1,Semi-Furnished,10421000
4343,3,2,1,1,10,27.4,Rural,Good,1,0,Semi-Furnished,7862000
2000,3,2,1,0,11,9.6,Urban,Good,1,0,Unfurnished,7650000
661,3,2,3,0,9,16.2,Urban,Good,1,0,Furnished,3463000
4797,1,1,2,0,31,21.2,Suburban,Good,1,0,Unfurnished,11397000
2481,3,3,1,2,15,24.1,Rural,Good,1,0,Unfurnished,4397000
1495,2,2,1,2,7,14.3,Rural,Good,1,1,Unfurnished,3096000
3842,4,3,1,1,37,25.4,Suburban,Good,1,1,Unfurnished,9753000
4298,3,2,2,2,11,23.3,Rural,Poor,1,1,Furnished,5898000
